"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Israel",1962,786.2,"K",,1967,670.9,"K",,1972,586.7,"K",,1977,506.5,"K",,1982,458.2,"K",,1987,422.2,"K",,1992,370.2,"K",,1997,316.1,"K",,2002,285.2,"K",,2007,257.2,"K",,2012,231.3,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Italy",1962,3807.0,"K",,1967,3664.0,"K",,1972,3538.0,"K",,1977,3439.0,"K",,1982,3385.0,"K",,1987,3367.0,"K",,1992,3362.0,"K",,1997,3363.0,"K",,2002,3327.0,"K",,2007,3215.0,"K",,2012,3138.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Jamaica",1962,5601.0,"K",,1967,5213.0,"K",,1972,4885.0,"K",,1977,4567.0,"K",,1982,4275.0,"K",,1987,4034.0,"K",,1992,3922.0,"K",,1997,3748.0,"K",,2002,3581.0,"K",,2007,3471.0,"K",,2012,3406.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Japan",1962,4562.0,"K",,1967,4312.0,"K",,1972,4033.0,"K",,1977,3803.0,"K",,1982,3653.0,"K",,1987,3553.0,"K",,1992,3491.0,"K",,1997,3437.0,"K",,2002,3411.0,"K",,2007,3399.0,"K",,2012,3401.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Jordan",1962,965.0,"K",,1967,704.0,"K",,1972,513.4,"K",,1977,444.3,"K",,1982,377.8,"K",,1987,310.6,"K",,1992,246.2,"K",,1997,203.4,"K",,2002,187.5,"K",,2007,165.3,"K",,2012,145.1,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Kazakhstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,6543.0,"K",,1997,6942.0,"K",,2002,7214.0,"K",,2007,6946.0,"K",,2012,6562.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Kenya",1962,3558.0,"K",,1967,3023.0,"K",,1972,2541.0,"K",,1977,2113.0,"K",,1982,1749.0,"K",,1987,1453.0,"K",,1992,1226.0,"K",,1997,1061.0,"K",,2002,932.3,"K",,2007,819.0,"K",,2012,718.1,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Kiribati",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Kuwait",1962,59.35,"K",,1967,34.01,"K",,1972,22.99,"K",,1977,16.96,"K",,1982,13.21,"K",,1987,10.33,"K",,1992,10.4,"K",,1997,11.91,"K",,2002,9.662,"K",,2007,8.17,"K",,2012,6.916,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Kyrgyzstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,5277.0,"K",,1997,4984.0,"K",,2002,4721.0,"K",,2007,4596.0,"K",,2012,4336.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Lao People's Democratic Republic",1962,149552.0,"K",,1967,133187.0,"K",,1972,117471.0,"K",,1977,106857.0,"K",,1982,98903.0,"K",,1987,86533.0,"K",,1992,75197.0,"K",,1997,66474.0,"K",,2002,60669.0,"K",,2007,56230.0,"K",,2012,52322.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Latvia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,13567.0,"K",,1997,14535.0,"K",,2002,15085.0,"K",,2007,15535.0,"K",,2012,15861.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Lebanon",1962,2220.0,"K",,1967,1952.0,"K",,1972,1733.0,"K",,1977,1611.0,"K",,1982,1592.0,"K",,1987,1561.0,"K",,1992,1438.0,"K",,1997,1252.0,"K",,2002,1164.0,"K",,2007,1089.0,"K",,2012,1049.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Lesotho",1962,3426.0,"K",,1967,3109.0,"K",,1972,2809.0,"K",,1977,2500.0,"K",,1982,2187.0,"K",,1987,1950.0,"K",,1992,1779.0,"K",,1997,1620.0,"K",,2002,1503.0,"K",,2007,1435.0,"K",,2012,1363.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Liberia",1962,198121.0,"K",,1967,174567.0,"K",,1972,152431.0,"K",,1977,132118.0,"K",,1982,112676.0,"K",,1987,104835.0,"K",,1992,112950.0,"K",,1997,98263.0,"K",,2002,77437.0,"K",,2007,66724.0,"K",,2012,54653.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Libya",1962,482.4,"K",,1967,398.0,"K",,1972,322.6,"K",,1977,261.0,"K",,1982,207.0,"K",,1987,171.8,"K",,1992,155.2,"K",,1997,141.4,"K",,2002,128.8,"K",,2007,116.2,"K",,2012,108.2,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Liechtenstein",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Lithuania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,6748.0,"K",,1997,6961.0,"K",,2002,7192.0,"K",,2007,7369.0,"K",,2012,7564.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Luxembourg",1962,9657.0,"K",,1967,9262.0,"K",,1972,8939.0,"K",,1977,8547.0,"K",,1982,8505.0,"K",,1987,8356.0,"K",,1992,7918.0,"K",,1997,7376.0,"K",,2002,6998.0,"K",,2007,6513.0,"K",,2012,5927.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Madagascar",1962,62932.0,"K",,1967,55601.0,"K",,1972,48777.0,"K",,1977,42481.0,"K",,1982,37196.0,"K",,1987,32592.0,"K",,1992,28142.0,"K",,1997,24102.0,"K",,2002,20625.0,"K",,2007,17756.0,"K",,2012,15368.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Malawi",1962,4678.0,"K",,1967,4136.0,"K",,1972,3590.0,"K",,1977,3048.0,"K",,1982,2631.0,"K",,1987,2126.0,"K",,1992,1785.0,"K",,1997,1675.0,"K",,2002,1460.0,"K",,2007,1272.0,"K",,2012,1088.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Malaysia",1962,66590.0,"K",,1967,57358.0,"K",,1972,50606.0,"K",,1977,44989.0,"K",,1982,39884.0,"K",,1987,34726.0,"K",,1992,30202.0,"K",,1997,26629.0,"K",,2002,23659.0,"K",,2007,21441.0,"K",,2012,19780.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Maldives",1962,315.8,"K",,1967,277.8,"K",,1972,243.9,"K",,1977,208.3,"K",,1982,178.6,"K",,1987,150.0,"K",,1992,129.3,"K",,1997,115.8,"K",,2002,106.4,"K",,2007,98.68,"K",,2012,92.59,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Mali",1962,18584.0,"K",,1967,17367.0,"K",,1972,16003.0,"K",,1977,14601.0,"K",,1982,13242.0,"K",,1987,12108.0,"K",,1992,11018.0,"K",,1997,9642.0,"K",,2002,8332.0,"K",,2007,7132.0,"K",,2012,6128.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Malta",1962,162.9,"K",,1967,166.1,"K",,1972,166.7,"K",,1977,161.3,"K",,1982,150.3,"K",,1987,141.5,"K",,1992,134.3,"K",,1997,129.2,"K",,2002,125.6,"K",,2007,122.3,"K",,2012,120.5,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Marshall Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Mauritania",1962,12611.0,"K",,1967,10951.0,"K",,1972,9492.0,"K",,1977,8196.0,"K",,1982,7090.0,"K",,1987,6186.0,"K",,1992,5408.0,"K",,1997,4701.0,"K",,2002,4071.0,"K",,2007,3548.0,"K",,2012,3147.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Mauritius",1962,3941.0,"K",,1967,3504.0,"K",,1972,3225.0,"K",,1977,2984.0,"K",,1982,2787.0,"K",,1987,2668.0,"K",,1992,2526.0,"K",,1997,2367.0,"K",,2002,2253.0,"K",,2007,2156.0,"K",,2012,2094.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Mexico",1962,11160.0,"K",,1967,9611.0,"K",,1972,8301.0,"K",,1977,7175.0,"K",,1982,6369.0,"K",,1987,5761.0,"K",,1992,5224.0,"K",,1997,4790.0,"K",,2002,4455.0,"K",,2007,4186.0,"K",,2012,3936.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Micronesia (Federated States of)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Monaco",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Mongolia",1962,34353.0,"K",,1967,29592.0,"K",,1972,25607.0,"K",,1977,22236.0,"K",,1982,19540.0,"K",,1987,17067.0,"K",,1992,15453.0,"K",,1997,14834.0,"K",,2002,14152.0,"K",,2007,13257.0,"K",,2012,12236.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Montenegro",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Morocco",1962,2363.0,"K",,1967,2057.0,"K",,1972,1801.0,"K",,1977,1597.0,"K",,1982,1406.0,"K",,1987,1243.0,"K",,1992,1129.0,"K",,1997,1047.0,"K",,2002,984.6,"K",,2007,935.2,"K",,2012,889.6,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Mozambique",1962,27274.0,"K",,1967,24539.0,"K",,1972,21969.0,"K",,1977,19358.0,"K",,1982,17053.0,"K",,1987,16244.0,"K",,1992,15163.0,"K",,1997,12875.0,"K",,2002,11307.0,"K",,2007,9954.0,"K",,2012,8870.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Myanmar",1962,53416.0,"K",,1967,47875.0,"K",,1972,42510.0,"K",,1977,37824.0,"K",,1982,34172.0,"K",,1987,31222.0,"K",,1992,28893.0,"K",,1997,26942.0,"K",,2002,25609.0,"K",,2007,24896.0,"K",,2012,23972.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Namibia",1962,27994.0,"K",,1967,24645.0,"K",,1972,21349.0,"K",,1977,18653.0,"K",,1982,16764.0,"K",,1987,14199.0,"K",,1992,11712.0,"K",,1997,10114.0,"K",,2002,8981.0,"K",,2007,8208.0,"K",,2012,7496.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Nauru",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Nepal",1962,20808.0,"K",,1967,18833.0,"K",,1972,16854.0,"K",,1977,14996.0,"K",,1982,13325.0,"K",,1987,11838.0,"K",,1992,10487.0,"K",,1997,9263.0,"K",,2002,8223.0,"K",,2007,7408.0,"K",,2012,6778.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Netherlands",1962,7755.0,"K",,1967,7268.0,"K",,1972,6878.0,"K",,1977,6587.0,"K",,1982,6391.0,"K",,1987,6227.0,"K",,1992,6025.0,"K",,1997,5831.0,"K",,2002,5671.0,"K",,2007,5534.0,"K",,2012,5445.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","New Zealand",1962,132015.0,"K",,1967,120932.0,"K",,1972,111566.0,"K",,1977,104707.0,"K",,1982,102540.0,"K",,1987,98762.0,"K",,1992,93349.0,"K",,1997,87154.0,"K",,2002,82534.0,"K",,2007,77268.0,"K",,2012,73302.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Nicaragua",1962,104297.0,"K",,1967,89772.0,"K",,1972,77128.0,"K",,1977,66218.0,"K",,1982,57368.0,"K",,1987,50893.0,"K",,1992,45478.0,"K",,1997,40746.0,"K",,2002,37663.0,"K",,2007,35334.0,"K",,2012,33014.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Niger",1962,9771.0,"K",,1967,8417.0,"K",,1972,7251.0,"K",,1977,6253.0,"K",,1982,5420.0,"K",,1987,4719.0,"K",,1992,4054.0,"K",,1997,3421.0,"K",,2002,2875.0,"K",,2007,2413.0,"K",,2012,2022.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Nigeria",1962,5970.0,"K",,1967,5347.0,"K",,1972,4755.0,"K",,1977,4140.0,"K",,1982,3594.0,"K",,1987,3167.0,"K",,1992,2794.0,"K",,1997,2483.0,"K",,2002,2204.0,"K",,2007,1948.0,"K",,2012,1718.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Niue",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Norway",1962,105003.0,"K",,1967,100925.0,"K",,1972,97078.0,"K",,1977,94484.0,"K",,1982,92899.0,"K",,1987,91278.0,"K",,1992,89127.0,"K",,1997,86582.0,"K",,2002,84215.0,"K",,2007,80898.0,"K",,2012,77016.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Occupied Palestinian Territory",1962,742.0,"K",,1967,718.5,"K",,1972,709.3,"K",,1977,598.3,"K",,1982,522.5,"K",,1987,446.9,"K",,1992,369.5,"K",,1997,293.9,"K",,2002,249.4,"K",,2007,224.5,"K",,2012,196.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Oman",1962,2397.0,"K",,1967,2102.0,"K",,1972,1779.0,"K",,1977,1403.0,"K",,1982,1059.0,"K",,1987,838.8,"K",,1992,689.3,"K",,1997,617.8,"K",,2002,607.9,"K",,2007,546.7,"K",,2012,482.1,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Pakistan",1962,5121.0,"K",,1967,4505.0,"K",,1972,3933.0,"K",,1977,3385.0,"K",,1982,2864.0,"K",,1987,2419.0,"K",,1992,2091.0,"K",,1997,1838.0,"K",,2002,1641.0,"K",,2007,1501.0,"K",,2012,1371.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Palau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Panama",1962,123746.0,"K",,1967,106859.0,"K",,1972,92790.0,"K",,1977,81453.0,"K",,1982,72442.0,"K",,1987,65141.0,"K",,1992,58800.0,"K",,1997,53104.0,"K",,2002,48224.0,"K",,2007,44166.0,"K",,2012,40828.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Papua New Guinea",1962,393225.0,"K",,1967,354582.0,"K",,1972,310947.0,"K",,1977,269879.0,"K",,1982,235866.0,"K",,1987,207245.0,"K",,1992,183337.0,"K",,1997,161167.0,"K",,2002,141519.0,"K",,2007,125235.0,"K",,2012,111715.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Paraguay",1962,167247.0,"K",,1967,146341.0,"K",,1972,128933.0,"K",,1977,114014.0,"K",,1982,99232.0,"K",,1987,85846.0,"K",,1992,75252.0,"K",,1997,66999.0,"K",,2002,60377.0,"K",,2007,54911.0,"K",,2012,50277.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Peru",1962,181913.0,"K",,1967,157695.0,"K",,1972,137211.0,"K",,1977,119652.0,"K",,1982,105388.0,"K",,1987,94005.0,"K",,1992,84822.0,"K",,1997,77553.0,"K",,2002,71974.0,"K",,2007,67919.0,"K",,2012,64337.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Philippines",1962,17230.0,"K",,1967,14738.0,"K",,1972,12758.0,"K",,1977,11071.0,"K",,1982,9625.0,"K",,1987,8397.0,"K",,1992,7408.0,"K",,1997,6614.0,"K",,2002,5941.0,"K",,2007,5403.0,"K",,2012,4965.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Poland",1962,2062.0,"K",,1967,1940.0,"K",,1972,1862.0,"K",,1977,1781.0,"K",,1982,1698.0,"K",,1987,1637.0,"K",,1992,1611.0,"K",,1997,1605.0,"K",,2002,1611.0,"K",,2007,1613.0,"K",,2012,1608.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Portugal",1962,7697.0,"K",,1967,7818.0,"K",,1972,7788.0,"K",,1977,7259.0,"K",,1982,6935.0,"K",,1987,6907.0,"K",,1992,6882.0,"K",,1997,6728.0,"K",,2002,6591.0,"K",,2007,6476.0,"K",,2012,6421.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Puerto Rico",1962,2903.0,"K",,1967,2690.0,"K",,1972,2541.0,"K",,1977,2332.0,"K",,1982,2166.0,"K",,1987,2065.0,"K",,1992,1973.0,"K",,1997,1888.0,"K",,2002,1862.0,"K",,2007,1886.0,"K",,2012,1897.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Qatar",1962,1036.0,"K",,1967,674.4,"K",,1972,449.6,"K",,1977,320.4,"K",,1982,210.9,"K",,1987,138.1,"K",,1992,118.9,"K",,1997,109.6,"K",,2002,92.95,"K",,2007,49.24,"K",,2012,29.91,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Republic of Korea",1962,2631.0,"K",,1967,2354.0,"K",,1972,2127.0,"K",,1977,1945.0,"K",,1982,1802.0,"K",,1987,1676.0,"K",,1992,1594.0,"K",,1997,1541.0,"K",,2002,1501.0,"K",,2007,1467.0,"K",,2012,1435.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Republic of Moldova",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2660.0,"K",,1997,2730.0,"K",,2002,2935.0,"K",,2007,3173.0,"K",,2012,3311.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Romania",1962,11368.0,"K",,1967,10878.0,"K",,1972,10249.0,"K",,1977,9786.0,"K",,1982,9443.0,"K",,1987,9223.0,"K",,1992,9182.0,"K",,1997,9432.0,"K",,2002,9627.0,"K",,2007,9790.0,"K",,2012,9907.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Russian Federation",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,30276.0,"K",,1997,30431.0,"K",,2002,30979.0,"K",,2007,31460.0,"K",,2012,31590.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Rwanda",1962,3228.0,"K",,1967,2777.0,"K",,1972,2382.0,"K",,1977,2026.0,"K",,1982,1726.0,"K",,1987,1424.0,"K",,1992,1472.0,"K",,1997,1508.0,"K",,2002,1092.0,"K",,2007,978.3,"K",,2012,842.8,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Saint Kitts and Nevis",1962,470.6,"K",,1967,510.6,"K",,1972,545.5,"K",,1977,545.5,"K",,1982,558.1,"K",,1987,585.4,"K",,1992,585.4,"K",,1997,545.5,"K",,2002,510.6,"K",,2007,480.0,"K",,2012,444.4,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Saint Lucia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Saint Vincent and the Grenadines",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Samoa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","San Marino",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Sao Tome and Principe",1962,34062.0,"K",,1967,32059.0,"K",,1972,28312.0,"K",,1977,25057.0,"K",,1982,22020.0,"K",,1987,20185.0,"K",,1992,18017.0,"K",,1997,16391.0,"K",,2002,14932.0,"K",,2007,13885.0,"K",,2012,12674.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Saudi Arabia",1962,556.6,"K",,1967,467.2,"K",,1972,380.3,"K",,1977,292.6,"K",,1982,215.7,"K",,1987,165.9,"K",,1992,139.6,"K",,1997,126.2,"K",,2002,111.8,"K",,2007,94.1,"K",,2012,83.61,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Senegal",1962,12061.0,"K",,1967,10416.0,"K",,1972,8877.0,"K",,1977,7708.0,"K",,1982,6789.0,"K",,1987,5865.0,"K",,1992,5047.0,"K",,1997,4403.0,"K",,2002,3871.0,"K",,2007,3381.0,"K",,2012,2960.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Serbia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,16495.0,"E",,2012,16472.0,"E",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Seychelles",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Sierra Leone",1962,70859.0,"K",,1967,65120.0,"K",,1972,59502.0,"K",,1977,53981.0,"K",,1982,48470.0,"K",,1987,42701.0,"K",,1992,40201.0,"K",,1997,40879.0,"K",,2002,35508.0,"K",,2007,29208.0,"K",,2012,26118.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Singapore",1962,344.4,"K",,1967,306.0,"K",,1972,278.7,"K",,1977,258.8,"K",,1982,238.1,"K",,1987,212.5,"K",,1992,188.0,"K",,1997,163.4,"K",,2002,148.8,"K",,2007,130.9,"K",,2012,114.2,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Slovakia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,9295.0,"K",,2002,9264.0,"K",,2007,9225.0,"K",,2012,9142.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Slovenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,16394.0,"K",,1997,16129.0,"K",,2002,16007.0,"K",,2007,15840.0,"K",,2012,15623.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Solomon Islands",1962,357600.0,"K",,1967,306164.0,"K",,1972,259884.0,"K",,1977,215942.0,"K",,1982,182449.0,"K",,1987,156842.0,"K",,1992,136280.0,"K",,1997,118568.0,"K",,2002,103472.0,"K",,2007,90121.0,"K",,2012,78975.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Somalia",1962,4980.0,"K",,1967,4391.0,"K",,1972,4001.0,"K",,1977,2915.0,"K",,1982,2225.0,"K",,1987,2287.0,"K",,1992,2247.0,"K",,1997,2166.0,"K",,2002,1887.0,"K",,2007,1683.0,"K",,2012,1500.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","South Africa",1962,2805.0,"K",,1967,2466.0,"K",,1972,2165.0,"K",,1977,1903.0,"K",,1982,1679.0,"K",,1987,1491.0,"K",,1992,1330.0,"K",,1997,1199.0,"K",,2002,1117.0,"K",,2007,1052.0,"K",,2012,1013.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","South Sudan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2012,4567.0,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Spain",1962,3589.0,"K",,1967,3402.0,"K",,1972,3227.0,"K",,1977,3055.0,"K",,1982,2935.0,"K",,1987,2883.0,"K",,1992,2853.0,"K",,1997,2815.0,"K",,2002,2696.0,"K",,2007,2500.0,"K",,2012,2384.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Sri Lanka",1962,5038.0,"K",,1967,4495.0,"K",,1972,4042.0,"K",,1977,3686.0,"K",,1982,3397.0,"K",,1987,3167.0,"K",,1992,2976.0,"K",,1997,2865.0,"K",,2002,2759.0,"K",,2007,2605.0,"K",,2012,2488.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Sudan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2012,1016.0,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Suriname",1962,398693.0,"K",,1967,347578.0,"K",,1972,327078.0,"K",,1977,336088.0,"K",,1982,331522.0,"K",,1987,315245.0,"K",,1992,291169.0,"K",,1997,272321.0,"K",,2002,254167.0,"K",,2007,239216.0,"K",,2012,228464.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Swaziland",1962,12322.0,"K",,1967,10973.0,"K",,1972,9555.0,"K",,1977,8200.0,"K",,1982,7058.0,"K",,1987,5872.0,"K",,1992,4967.0,"K",,1997,4479.0,"K",,2002,4164.0,"K",,2007,3981.0,"K",,2012,3697.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Sweden",1962,22973.0,"K",,1967,22129.0,"K",,1972,21434.0,"K",,1977,21101.0,"K",,1982,20906.0,"K",,1987,20682.0,"K",,1992,20048.0,"K",,1997,19652.0,"K",,2002,19546.0,"K",,2007,18994.0,"K",,2012,18325.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Switzerland",1962,9722.0,"K",,1967,8929.0,"K",,1972,8533.0,"K",,1977,8437.0,"K",,1982,8437.0,"K",,1987,8192.0,"K",,1992,7850.0,"K",,1997,7546.0,"K",,2002,7374.0,"K",,2007,7112.0,"K",,2012,6918.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Syrian Arab Republic",1962,3448.0,"K",,1967,2921.0,"K",,1972,2464.0,"K",,1977,2084.0,"K",,1982,1760.0,"K",,1987,1491.0,"K",,1992,1286.0,"K",,1997,1131.0,"K",,2002,990.4,"K",,2007,869.5,"K",,2012,795.5,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Tajikistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,3970.0,"K",,1997,3685.0,"K",,2002,3486.0,"K",,2007,3318.0,"K",,2012,3095.0,"K",,,,"",
