name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Belarus,57,112,53,28,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belgium-Luxembourg,15,58,49.6568287,6.0333955,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belgium,255,56,50.8333,4,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belize,23,84,17.25,-88.75,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Benin,53,204,9.3076900,2.3158340,3300,4400,3900,6800,7400,8700,12000,22800,23600,35500,46500,49500,44500,30600,22600,21700,16000,18620,25700,16500,14000,30000,43000,83000,84000,130000,69000,109040,105641,141310,169499,149670,255591,235209,315000,418241,367000,344636,332640,332000,357100,441000,378000,385000,312000,199500,224000,210000,143500,124000,239000,295000
Bermuda,17,60,32.3333,-64.75,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bhutan,18,64,27.5141620,90.4336010,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bolivia (Plurinational State of),19,68,-17,-65,3000,3000,4000,5000,6000,9000,8000,10990,12636,15900,27700,46200,110450,82200,62910,33615,41815,48715,40440,18800,18015,11426,9221,6874,13498,11058,6088,10146,3590,5689,22560,25636,22671,30591,47025,73543,64053,53300,46000,41500,73600,70398,81195,86836,90931,88956,91404,82105,91120,93200,93900,91400
Bosnia and Herzegovina,80,70,44,18,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Botswana,20,72,-22,24,2950,2375,2375,5965,5930,4821,2535,2411,3034,1336,3269,2675,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2873,2377,1726,1726,1802,1917,2371,2370,2180,2280,2800,3514,2370,1976,2203,2195,2103,1755,2035,1248,1156,885,890
Brazil,21,76,-10,-55,1227481,1572519,1415267,1462596,1305344,1572519,1624500,1919800,2026500,1876100,2066400,1842400,2182200,1880400,1677900,1211500,1843000,1523000,1587000,1625000,1678000,1874000,1552000,1924300,2773000,2244000,1622000,2457000,1756000,1844000,1996000,1810000,1090000,1312000,1393000,916000,789000,1126000,1356500,1929920,2537150,2076740,2113623,3649327,3521528,2783400,3946390,3823854,2781640,2831851,4867889,4765390
British Virgin Islands,239,92,18.4206950,-64.6399680,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Brunei Darussalam,26,96,4.5352770,114.6667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bulgaria,27,100,43,25,21507,48826,39771,43071,38043,68578,55585,31051,40566,36015,40022,49412,37926,37288,31582,3315,13088,15909,17509,11743,12727,20052,17040,14508,14113,18118,19756,12963,12831,7889,17910,8583,4992,6738,13939,11768,8910,7122,9570,6280,9600,8360,4100,2530,1227,1045,825,689,480,880,413,249
