name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
Australia,10,36,-25.2743980,133.7751360,6171,5219,4268,5954,20918,42948,36163,70794,73778,60158,38949,94518,67831,67581,77212,58405,65938,103683,122312,195190,232016,315612,233677,320301,584697,612064,511106,629959,671071,714774,1036608,1257668,921314,824974,841423,962488,1393742,1521538,1639063,1692262,1866921,1623822,884332,797930,1474489,1364582,678260,303536,752051,884927,1949291,2312808,13460,11385,9309,12987,45628,93685,78884,154427,160936,131225,84961,206176,147961,147418,168426,127400,143833,226167,266805,425776,506106,688456,509728,698684,1275422,1335119,1114894,1374153,1463832,1559164,2261192,2743401,2009699,1799548,1835427,2099513,3040224,3318989,3575350,3691396,4072387,3542105,1929027,1740556,3216360,2976616,1479514,662115,1640477,1930324,4252064,5045017
Austria,11,40,47.3333,13.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,52,31,40.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492725,420649,416679,367409,336075,187261,175293,150312,160997,126864,123904,166860,227364,330729,221083,157859,83619,48030,57574,100422,85904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290222,1101488,1091092,962076,880026,490350,459011,393597,421577,332199,324447,436930,595363,866029,578915,413362,218960,125768,150759,262959,224942
Bahamas,12,44,24.25,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,13,48,26,50.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,16,50,24,90,69537,69537,69537,69537,69537,61598,61598,52472,61598,27377,38784,31940,25711,24890,18639,15993,19985,26943,25118,39653,223244,234035,185803,136218,117133,88255,151845,271338,311149,357804,313593,355434,579453,283293,307704,307909,312659,296583,319397,307990,342211,326777,341081,347928,399716,408157,343342,273529,350050,329742,394081,433468,8348,8348,8348,8348,8348,7395,7395,6300,7395,3287,4656,3835,3087,2988,2238,1920,2399,3235,3016,4761,26802,28098,22307,16354,14063,10596,18230,32576,37356,42957,37649,42673,69568,34011,36942,36967,37537,35607,38346,36977,41085,39232,40949,41771,47989,49002,41221,32839,42026,39588,47312,52041
Barbados,14,52,13.1667,-59.5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,57,112,53,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,15,58,49.6568287,6.0333955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,255,56,50.8333,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,23,84,17.25,-88.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,53,204,9.3076900,2.3158340,18037,20683,18062,31798,34577,40292,55575,107428,110521,170529,233712,252195,221389,150896,114457,102946,75630,88192,122083,81923,67897,157296,223622,433350,444100,644899,356273,575610,557427,765572,952966,865545,1462699,1317012,1688325,2181021,1999524,1919116,1648487,1916983,1855457,2290221,1952556,1981915,1610176,1006548,1049639,1018459,739548,635470,1229259,1519206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,17,60,32.3333,-64.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
