name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
Democratic People s Republic of Korea,116,408,40,127,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,23759,26135,27719,30094,31678,39598,47518,58605,63357,66525,71276,75236,81828,87115,92392,79196,87115,78404,88427,75224,92393,100306,95035,95568,95035,92312,93668,105857,104137,88544,82821,83858,103926,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,7,8,10,11,12,13,13,15,16,16,14,16,14,16,13,16,18,17,17,17,16,17,19,19,16,15,15,19
Democratic Republic of the Congo,250,180,,25,689614,414790,456846,429034,199192,212331,264155,484971,646628,746490,630097,646262,749723,621129,578366,558968,524134,503734,200493,327035,222663,751248,836104,804628,642971,578308,481314,326489,368154,325488,330319,295736,295986,294735,291656,290430,293438,296837,287107,277222,268618,258711,249304,266734,270147,271584,272392,273847,271949,165785,161186,178732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,54,208,56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,72,262,11.8251380,42.5902750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,55,212,15.4167,-61.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,56,214,19,-70.6667,22909,24368,30830,16168,16739,10046,3046,5844,9985,13452,10757,10546,10108,6323,8918,10535,13227,10187,13482,18202,22084,20973,22403,20360,19362,17977,23856,25080,26965,24967,22744,12870,10873,7315,,,,,,,,,,,,,,,,,,,1745,1856,2349,1232,1275,765,232,445,761,1025,819,803,770,482,679,803,1008,776,1027,1387,1682,1598,1707,1551,1475,1369,1817,1911,2054,1902,1733,980,828,557,,,,,,,,,,,,,,,,,,
Ecuador,58,218,-2,-77.5,37239,41239,35022,52661,68682,66134,59126,51554,77937,28657,39156,43195,72439,154781,111256,96753,103322,103699,93744,149904,153371,91336,15204,28405,66356,129041,66971,79917,120063,135687,114591,121221,75486,47790,56295,58312,49313,30993,35009,31627,26427,12814,4084,12597,11983,11913,12137,12981,13413,13709,14179,14484,44,49,41,62,81,78,70,61,92,34,46,51,86,183,131,114,122,122,111,177,181,108,18,34,78,152,79,94,142,160,135,143,89,56,66,69,58,37,41,37,31,15,5,15,14,14,14,15,16,16,17,17
Egypt,59,818,27,30,150213,202647,197223,221669,229950,199916,190414,190527,235121,221944,223099,224257,214256,191657,166003,172265,173824,190175,208452,227473,214371,197644,172415,171102,191507,179938,156633,139035,128263,130988,128547,157714,177567,109485,103320,148703,147424,99466,99760,94658,139927,120138,85380,124243,87285,90118,93518,46344,40397,57176,74056,48638,3717824,5015602,4881345,5486390,5691358,4948002,4712814,4715610,5819339,5493204,5521793,5550437,5302927,4743583,4108629,4263636,4302214,4706897,5159263,5630054,5305757,4891772,4267347,4234831,4739866,4453546,3876731,3441159,3174572,3242014,3181590,3903486,4394850,2709796,2557202,3680459,3648808,2461813,2469110,2342820,3463240,2973452,2113198,3075073,2160326,2230448,2314617,1147021,999848,1415135,1832907,1203820
El Salvador,60,222,13.8333,-88.9167,215391,299358,365969,377915,411521,264442,197041,177201,227507,232771,279413,345819,347355,379960,377557,304335,352711,400775,335175,317901,218341,200631,201464,148263,149567,90171,52953,48754,43469,24701,18520,18810,18815,5401,8582,385,,5875,5875,5637,943,865,383,8690,6847,1545,88,298,124,298,859,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,61,226,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,178,232,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,63,233,59,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia PDR,62,230,8,38,26635,46835,29269,32052,44774,108133,137104,154223,180412,213482,132244,152099,175042,197986,197606,260346,271532,237037,237037,355556,355556,355556,263375,263375,289712,263375,263375,276543,237037,250206,158025,131687,,,,,,,,,,,,,,,,,,,,,14385,25294,15807,17310,24181,58398,74044,83290,97433,115294,71420,82143,94534,106924,106719,140603,146644,128015,128015,192022,192022,192022,142239,142239,156462,142239,142239,149350,128015,135127,85343,71119,,,,,,,,,,,,,,,,,,,,
Ethiopia,238,231,8,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146582,191275,187341,197531,197531,197531,196042,196042,181383,258906,258906,267843,263375,548687,542966,449769,378204,238527,272075,362767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79164,103300,101176,106679,106679,106679,105874,105874,97958,139825,139825,144652,142239,296325,293235,242903,204253,128819,146937,195916
Falkland Islands (Malvinas),65,238,-51.75,-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,64,234,62,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,66,242,-18,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,67,246,64,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,68,250,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,69,254,4,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,70,258,-15,-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,74,266,-1,27699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,75,270,13.4667,-16.5667,,,,,,,,,,154,485,606,2490,3993,3160,11173,16489,12191,13436,19931,37730,33985,11108,36942,27050,18069,12756,28074,46773,26482,31232,40977,53103,44702,28177,25601,17609,5564,4637,3008,2611,5920,6899,6503,7183,7038,7668,6814,7553,7577,8136,7427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,73,268,42,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,79,276,51,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,81,288,8,-2,,,,,,,,584,1701,2644,7751,11995,10150,15876,58169,45714,48894,44398,42889,40995,31364,25683,23050,40610,8507,43971,43823,39927,51825,78966,127832,179455,254902,149924,168799,222392,256106,291010,235963,215101,129738,94963,107165,104276,134860,127258,112361,141270,145445,149184,151736,157306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,82,292,36.1833,-5.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,84,300,39,22,146622,137277,154924,114267,115827,132092,144923,115671,171643,166649,182914,200097,183364,187908,185755,167100,194011,206669,162536,180850,195433,157258,208507,220920,257575,316019,299560,361422,393162,334057,302625,386314,481986,596385,650809,608858,550909,578637,650484,649082,681276,651989,548095,585974,615289,510540,432387,378403,338861,290774,368074,508455,325642,304887,344080,253782,257248,293371,321869,256902,381213,370122,406245,444408,407246,417336,412556,371123,430892,459004,360986,401661,434050,349263,463086,490656,572065,701868,665312,802706,873199,741928,672119,857990,1070473,1324549,1445424,1352251,1223549,1285132,1444702,1441587,1513089,1448043,1217300,1301428,1366535,1133891,960316,840420,752599,645798,817480,1129260
Greenland,85,304,72,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,86,308,12.2627760,-61.6041710,734,672,974,307,562,391,253,389,310,230,160,150,120,60,119,88,79,79,89,89,89,98,98,98,98,98,98,98,98,98,98,98,98,116,116,116,116,116,116,116,116,116,116,116,116,116,116,135,146,111,111,111,56,51,74,23,43,30,19,30,24,17,12,11,9,5,9,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,8,8,8
Guadeloupe,87,312,16.25,-61.5833,597,797,449,449,350,1634,3229,2888,2988,2989,1096,897,897,797,597,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,61,34,34,27,125,246,220,228,228,84,68,68,61,45,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,88,316,13.4667,144.7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,89,320,15.7834710,-90.2307590,131917,200261,337175,396752,443792,483368,347254,468009,446415,388665,341523,488525,578210,727663,640613,594825,817280,894589,969881,911656,682432,423571,335003,353346,350775,316035,164614,284044,247801,241473,228060,246281,123789,84919,43274,32437,8066,16372,4093,5898,6305,4925,5200,6330,6463,5448,6404,6122,4778,5107,5191,5044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,175,624,12,-15,,,,,,,,,,,,,,,,,,,,11468,15079,17399,10439,17399,17399,17399,17399,16356,9296,11835,11391,5582,8554,7389,11993,12835,11095,11675,14313,14684,17344,18739,20501,17815,19498,18134,21886,20540,16566,18580,17399,17399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,90,324,11,-10,,,,,,,,,,,,,,,,,,,,,,,246,361,737,2804,3828,6954,13443,24249,60386,96490,100446,80579,79307,69324,118421,180297,241098,335133,226952,170553,177801,186904,176445,171289,172026,172763,156715,162196,172026,180050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,91,328,5,-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,93,332,19,-72.4167,14890,11653,10035,9711,11329,9711,7283,3237,4046,5665,9711,9711,9684,9684,9684,9684,11824,16094,18094,12912,18351,17386,19368,19493,19368,12912,8070,8070,8070,7491,7080,7447,6456,5810,4842,4618,3406,3502,4842,4797,3874,4519,4565,4604,4638,4675,4842,3874,3154,3608,3876,3874,1134,888,764,740,863,740,555,247,308,432,740,740,738,738,738,738,901,1226,1378,984,1398,1324,1475,1485,1475,984,615,615,615,571,539,567,492,443,369,352,259,267,369,365,295,344,348,351,353,356,369,295,240,275,295,295
Holy See,94,336,41.9,16772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,95,340,15,-86.5,11509,32826,42155,62435,101127,99620,87596,73526,67516,28123,17991,19859,37368,45683,45106,27461,56492,100741,77134,66510,55466,56877,38481,53181,42534,27329,25228,25674,18208,13847,14403,12034,14403,14403,14403,5716,10168,6247,5792,3526,5506,5510,5510,5510,5510,5510,5510,6254,6712,7177,7458,7451,165,471,604,895,1450,1428,1256,1054,968,403,258,285,536,655,647,394,810,1445,1106,954,795,816,552,763,610,392,362,368,261,199,207,173,207,207,207,82,146,90,83,51,79,79,79,79,79,79,79,90,96,103,107,107
Hungary,97,348,47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,99,352,65,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,100,356,20,77,16830713,20429163,21666589,20313190,18980907,18980907,21875274,20218333,20028620,18162995,23949583,22159843,22825985,24558810,22083958,20429163,23456329,25758294,24921411,24596753,25503649,24370565,20669240,27530530,28246246,22348088,20655351,28298078,36963675,31850568,31439072,36906908,34763466,38475598,41624756,46058622,35119517,39767589,37314644,31239873,32355307,27911809,44435875,53170593,59875030,73242237,83769845,72097522,77741215,108195427,114592455,101285329,4840347,5875226,6231097,5841873,5458722,5458722,6291113,5814593,5760034,5223498,6887664,6372952,6564528,7062872,6351128,5875226,6745809,7407831,7167152,7073783,7334598,7008734,5944270,7917509,8123342,6427090,5940275,8138248,10630388,9159909,9041567,10614062,9997630,11065202,11970869,13246005,10100026,11436766,10731323,8984279,9305067,8027161,12779319,15291338,17219468,21063745,24091381,20734536,22357606,31115937,32955659,29128661
Indonesia,101,360,-5,120,15293,20391,10195,16516,16516,16516,16516,16516,16027,15808,10909,10002,13305,31809,26258,13504,7978,4608,26523,71474,79110,99404,101800,60152,229903,270317,119335,110777,111638,58934,68527,64587,70205,72692,38400,39303,35581,27206,20589,19300,35999,32915,17536,16093,11424,8294,20391,19667,16032,23449,16756,16822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),102,364,32,53,76714,62115,82671,80488,100783,76212,77837,110019,109619,102607,97214,134496,130965,151487,93183,103876,116504,88190,64731,38761,51631,64792,60530,74398,70096,74411,71347,78418,78059,82604,80927,68243,59930,82407,110748,120443,91135,93761,93862,106284,87229,73130,75538,89713,77125,59299,65063,61900,52944,48557,49446,44396,1346133,1089950,1450667,1412351,1768482,1337323,1365840,1930543,1923532,1800494,1705854,2360060,2298094,2658209,1635121,1822754,2044338,1547504,1135869,680150,905989,1136940,1062151,1305501,1230007,1305715,1251963,1376035,1369729,1449478,1420058,1197495,1051617,1446031,1943346,2113464,1599181,1645255,1647030,1865001,1530636,1283245,1325492,1574230,1353350,1040544,1141686,1086183,929029,852047,867642,779033
Iraq,103,368,33,44,14656,15255,9077,18054,18875,17305,21458,24797,26206,28613,26330,30513,28499,25429,24226,21858,16259,9001,10719,9329,8228,8644,7314,6639,6732,12531,13270,11407,13457,17473,7134,5053,21190,18118,11220,16830,29920,43011,48832,20570,41856,59242,26692,22652,18674,16098,18446,7374,15289,28749,22102,22808,114512,119191,70917,141062,147473,135205,167654,193743,204755,223560,205722,238402,222669,198682,189281,170782,127032,70329,83752,72889,64288,67541,57148,51869,52599,97911,103681,89127,105142,136516,55742,39477,165558,141561,87666,131498,233775,336051,381537,160720,327028,462870,208553,176984,145905,125780,144126,57617,119453,224625,172687,178201
Ireland,104,372,53,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,105,376,31.0460510,34.8516120,11772,13015,10925,12666,17523,20218,23332,26758,31609,28817,29775,32716,30331,40781,39932,43631,52414,64762,61318,63694,77324,71469,75599,70655,80727,56458,48272,51043,37582,41698,17416,23621,22029,25853,34846,42768,43414,40850,20062,13180,17646,15193,14522,20187,14824,17408,14938,7191,5788,5720,13568,11486,42815,47334,39733,46066,63729,73529,84854,97316,114958,104802,108286,118983,110308,148315,145227,158680,190622,235528,223003,231643,281215,259922,274941,256959,293590,205327,175557,185636,136681,151649,63340,85906,80117,94023,126728,155539,157888,148566,72961,47935,64174,55253,52812,73418,53913,63310,54327,26153,21049,20804,49346,41774
Italy,106,380,42.8333,2349941,5924,4420,5958,5444,4997,2919,2722,1959,2047,1192,1418,983,947,1054,790,684,672,479,431,538,93,67,12,9,22,26,50,48,44,44,,,,,,,,,,,,,,,,,,,,,,,32015,23887,32199,29420,27007,15776,14712,10590,11064,6441,7664,5312,5120,5698,4270,3694,3630,2587,2329,2910,504,364,63,48,119,143,268,262,238,238,,,,,,,,,,,,,,,,,,,,,,
Jamaica,109,388,18.25,-77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,110,392,36,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,112,400,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,108,398,48,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234509,185381,213222,213524,227361,203036,186032,210967,292844,358820,289612,396472,431189,470157,436813,353664,337230,287053,271250,335007,396068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396367,313331,360388,360898,384285,343171,314430,356576,494965,606477,489502,670116,728795,794659,738300,597763,569985,485177,458467,566229,669434
Kenya,114,404,1,38,56808,32500,53695,62338,83969,82820,78266,93434,111359,91237,109109,110511,105262,97787,104925,102789,135122,176928,179619,248159,165889,158535,167923,148397,247328,177732,151278,123664,182242,177598,197410,109464,105971,118562,158231,216732,143979,151645,153618,129727,157785,129727,129727,129727,129727,145505,162158,98170,96420,76920,142007,74948,2697,1543,2549,2959,3986,3932,3715,4435,5286,4331,5180,5246,4997,4642,4981,4880,6414,8399,8527,11780,7875,7526,7972,7045,11741,8437,7181,5870,8651,8431,9371,5196,5031,5628,7511,10289,6835,7199,7292,6158,7490,6158,6158,6158,6158,6907,7698,4660,4577,3652,6741,3558
Kiribati,83,296,-3.3704170,-168.7340390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,118,414,29.3375,47.6581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,113,417,41,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34047,31203,38850,43675,49726,54505,52624,57660,65949,74842,79390,81183,92781,90461,89971,70373,72833,37602,56596,75970,64920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51811,47483,59119,66462,75671,82943,80080,87744,100357,113890,120812,123540,141189,137659,136913,107089,110833,57221,86125,115606,98792
Lao People s Democratic Republic,120,418,18,105,7241,7241,7241,7241,8689,8930,8689,12068,13033,14481,16026,10620,9172,10137,8689,10977,11706,5962,12116,23653,24343,24860,23981,24618,14019,12551,19309,20757,21448,23785,22924,25598,28713,28543,42514,32789,33790,36204,20564,22205,16322,14212,8727,10621,9654,11419,13052,10805,11028,7946,8893,9190,494,494,494,494,593,610,593,824,890,988,1094,725,626,692,593,749,799,407,827,1614,1662,1697,1637,1680,957,857,1318,1417,1464,1623,1565,1747,1960,1948,2902,2238,2306,2471,1404,1516,1114,970,596,725,659,779,891,737,753,542,607,627
Latvia,119,428,57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,121,422,33.8333,35.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,122,426,-29.5,41787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,123,430,6.4280550,-9.4294990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,124,434,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,125,438,47.1667,1254123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,126,440,56,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,256,442,49.75,-84948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,129,450,-20,47,9520,11014,17287,18721,23562,24238,37006,47642,69128,83651,94313,99509,124849,135684,125239,141548,151128,134889,134486,102392,122863,109428,113138,148700,183253,214431,116476,139578,179115,140745,115187,89776,120689,130828,108526,125130,164920,175237,158761,126452,123629,34846,40810,49648,36212,65454,57119,54318,51084,57119,57119,63155,2667,3085,4842,5244,6600,6790,10366,13346,19365,23433,26419,27875,34973,38009,35083,39651,42335,37786,37673,28683,34417,30654,31693,41655,51334,60068,32628,39099,50175,39426,32267,25148,33808,36648,30401,35052,46198,49088,44473,35423,34632,9761,11432,13908,10144,18335,16001,15216,14310,16001,16001,17691
Malawi,130,454,-13.5,34,61654,104439,58144,75184,122042,77545,71812,69521,108178,129102,133655,131425,97051,128646,108603,107325,135620,154656,173992,115998,163069,111024,66018,163852,231745,182125,105338,146953,176022,166127,214780,67827,228099,84981,341944,415421,226285,183486,260935,185695,190335,195844,198653,277152,264329,304935,334867,386394,365331,149934,267408,1237067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,131,458,4.2104840,101.9757660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,132,462,3.2027780,73.2206800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,133,466,17,-4,37915,58401,74593,104489,78346,105010,146922,202526,209437,264473,334021,323632,252161,298093,485701,590850,562819,633886,750632,537390,498985,655385,714730,730193,884555,1030441,991406,1275288,1261827,1479840,1474218,1726769,1298051,1630315,2144438,2408187,2708808,2710634,2420743,1237380,2931889,2307597,3271212,3054147,2515696,1807443,1040706,917986,997573,1117569,1755084,2050246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,134,470,35.8333,14.5833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,127,584,9,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,135,474,14.6667,-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,136,478,20,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
