name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bangladesh,16,50,24,90,0.18,0.17,0.17,0.16,0.16,0.14,0.13,0.11,0.13,0.05,0.08,0.06,0.05,0.05,0.03,0.03,0.03,0.05,0.04,0.06,0.35,0.35,0.27,0.2,0.16,0.12,0.2,0.35,0.39,0.44,0.38,0.42,0.66,0.32,0.34,0.33,0.33,0.31,0.32,0.31,0.33,0.31,0.32,0.32,0.37,0.37,0.31,0.24,0.31,0.29,0.34,0.37
Barbados,14,52,13.1667,-59.5333,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belarus,57,112,53,28,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belgium-Luxembourg,15,58,49.6568287,6.0333955,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belgium,255,56,50.8333,4,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belize,23,84,17.25,-88.75,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Benin,53,204,9.3076900,2.3158340,1.34,1.76,1.53,2.63,2.81,3.25,4.39,8.17,8.29,12.21,15.65,16.29,14.31,9.61,6.93,6.49,4.66,5.29,7.1,4.44,3.66,7.63,10.63,19.93,19.59,29.45,15.18,23.27,21.84,28.26,32.7,27.83,45.79,40.64,52.62,67.72,57.7,52.65,49.35,47.78,49.77,59.47,49.31,48.59,38.13,23.63,25.73,23.4,15.53,13.04,24.44,29.35
Bermuda,17,60,32.3333,-64.75,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bhutan,18,64,27.5141620,90.4336010,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bolivia (Plurinational State of),19,68,-17,-65,0.88,0.86,1.12,1.36,1.6,2.34,2.04,2.73,3.07,3.77,6.41,10.43,24.33,17.67,13.19,6.88,8.36,9.51,7.71,3.5,3.28,2.03,1.6,1.17,2.23,1.79,0.96,1.57,0.54,0.84,3.24,3.6,3.11,4.1,6.16,9.42,8.03,6.54,5.53,4.89,8.49,7.96,9,9.45,9.72,9.35,9.45,8.35,9.12,9.18,9.1,8.71
