"name","CountryCode","id","lat","lon","1961 cotton_total","1962 cotton_total","1963 cotton_total","1964 cotton_total","1965 cotton_total","1966 cotton_total","1967 cotton_total","1968 cotton_total","1969 cotton_total","1970 cotton_total","1971 cotton_total","1972 cotton_total","1973 cotton_total","1974 cotton_total","1975 cotton_total","1976 cotton_total","1977 cotton_total","1978 cotton_total","1979 cotton_total","1980 cotton_total","1981 cotton_total","1982 cotton_total","1983 cotton_total","1984 cotton_total","1985 cotton_total","1986 cotton_total","1987 cotton_total","1988 cotton_total","1989 cotton_total","1990 cotton_total","1991 cotton_total","1992 cotton_total","1993 cotton_total","1994 cotton_total","1995 cotton_total","1996 cotton_total","1997 cotton_total","1998 cotton_total","1999 cotton_total","2000 cotton_total","2001 cotton_total","2002 cotton_total","2003 cotton_total","2004 cotton_total","2005 cotton_total","2006 cotton_total","2007 cotton_total","2008 cotton_total","2009 cotton_total","2010 cotton_total","2011 cotton_total","2012 cotton_total",,,"1961 cotton_pc","1962 cotton_pc","1963 cotton_pc","1964 cotton_pc","1965 cotton_pc","1966 cotton_pc","1967 cotton_pc","1968 cotton_pc","1969 cotton_pc","1970 cotton_pc","1971 cotton_pc","1972 cotton_pc","1973 cotton_pc","1974 cotton_pc","1975 cotton_pc","1976 cotton_pc","1977 cotton_pc","1978 cotton_pc","1979 cotton_pc","1980 cotton_pc","1981 cotton_pc","1982 cotton_pc","1983 cotton_pc","1984 cotton_pc","1985 cotton_pc","1986 cotton_pc","1987 cotton_pc","1988 cotton_pc","1989 cotton_pc","1990 cotton_pc","1991 cotton_pc","1992 cotton_pc","1993 cotton_pc","1994 cotton_pc","1995 cotton_pc","1996 cotton_pc","1997 cotton_pc","1998 cotton_pc","1999 cotton_pc","2000 cotton_pc","2001 cotton_pc","2002 cotton_pc","2003 cotton_pc","2004 cotton_pc","2005 cotton_pc","2006 cotton_pc","2007 cotton_pc","2008 cotton_pc","2009 cotton_pc","2010 cotton_pc","2011 cotton_pc","2012 cotton_pc",,,"1961 green_total","1962 green_total","1963 green_total","1964 green_total","1965 green_total","1966 green_total","1967 green_total","1968 green_total","1969 green_total","1970 green_total","1971 green_total","1972 green_total","1973 green_total","1974 green_total","1975 green_total","1976 green_total","1977 green_total","1978 green_total","1979 green_total","1980 green_total","1981 green_total","1982 green_total","1983 green_total","1984 green_total","1985 green_total","1986 green_total","1987 green_total","1988 green_total","1989 green_total","1990 green_total","1991 green_total","1992 green_total","1993 green_total","1994 green_total","1995 green_total","1996 green_total","1997 green_total","1998 green_total","1999 green_total","2000 green_total","2001 green_total","2002 green_total","2003 green_total","2004 green_total","2005 green_total","2006 green_total","2007 green_total","2008 green_total","2009 green_total","2010 green_total","2011 green_total","2012 green_total",,,,"1961 blue_total","1962 blue_total","1963 blue_total","1964 blue_total","1965 blue_total","1966 blue_total","1967 blue_total","1968 blue_total","1969 blue_total","1970 blue_total","1971 blue_total","1972 blue_total","1973 blue_total","1974 blue_total","1975 blue_total","1976 blue_total","1977 blue_total","1978 blue_total","1979 blue_total","1980 blue_total","1981 blue_total","1982 blue_total","1983 blue_total","1984 blue_total","1985 blue_total","1986 blue_total","1987 blue_total","1988 blue_total","1989 blue_total","1990 blue_total","1991 blue_total","1992 blue_total","1993 blue_total","1994 blue_total","1995 blue_total","1996 blue_total","1997 blue_total","1998 blue_total","1999 blue_total","2000 blue_total","2001 blue_total","2002 blue_total","2003 blue_total","2004 blue_total","2005 blue_total","2006 blue_total","2007 blue_total","2008 blue_total","2009 blue_total","2010 blue_total","2011 blue_total","2012 blue_total",,,,"1961 green_pc","1962 green_pc","1963 green_pc","1964 green_pc","1965 green_pc","1966 green_pc","1967 green_pc","1968 green_pc","1969 green_pc","1970 green_pc","1971 green_pc","1972 green_pc","1973 green_pc","1974 green_pc","1975 green_pc","1976 green_pc","1977 green_pc","1978 green_pc","1979 green_pc","1980 green_pc","1981 green_pc","1982 green_pc","1983 green_pc","1984 green_pc","1985 green_pc","1986 green_pc","1987 green_pc","1988 green_pc","1989 green_pc","1990 green_pc","1991 green_pc","1992 green_pc","1993 green_pc","1994 green_pc","1995 green_pc","1996 green_pc","1997 green_pc","1998 green_pc","1999 green_pc","2000 green_pc","2001 green_pc","2002 green_pc","2003 green_pc","2004 green_pc","2005 green_pc","2006 green_pc","2007 green_pc","2008 green_pc","2009 green_pc","2010 green_pc","2011 green_pc","2012 green_pc",,,,"1961 blue_pc","1962 blue_pc","1963 blue_pc","1964 blue_pc","1965 blue_pc","1966 blue_pc","1967 blue_pc","1968 blue_pc","1969 blue_pc","1970 blue_pc","1971 blue_pc","1972 blue_pc","1973 blue_pc","1974 blue_pc","1975 blue_pc","1976 blue_pc","1977 blue_pc","1978 blue_pc","1979 blue_pc","1980 blue_pc","1981 blue_pc","1982 blue_pc","1983 blue_pc","1984 blue_pc","1985 blue_pc","1986 blue_pc","1987 blue_pc","1988 blue_pc","1989 blue_pc","1990 blue_pc","1991 blue_pc","1992 blue_pc","1993 blue_pc","1994 blue_pc","1995 blue_pc","1996 blue_pc","1997 blue_pc","1998 blue_pc","1999 blue_pc","2000 blue_pc","2001 blue_pc","2002 blue_pc","2003 blue_pc","2004 blue_pc","2005 blue_pc","2006 blue_pc","2007 blue_pc","2008 blue_pc","2009 blue_pc","2010 blue_pc","2011 blue_pc","2012 blue_pc",,,,"1961 water_pc","1962 water_pc","1963 water_pc","1964 water_pc","1965 water_pc","1966 water_pc","1967 water_pc","1968 water_pc","1969 water_pc","1970 water_pc","1971 water_pc","1972 water_pc","1973 water_pc","1974 water_pc","1975 water_pc","1976 water_pc","1977 water_pc","1978 water_pc","1979 water_pc","1980 water_pc","1981 water_pc","1982 water_pc","1983 water_pc","1984 water_pc","1985 water_pc","1986 water_pc","1987 water_pc","1988 water_pc","1989 water_pc","1990 water_pc","1991 water_pc","1992 water_pc","1993 water_pc","1994 water_pc","1995 water_pc","1996 water_pc","1997 water_pc","1998 water_pc","1999 water_pc","2000 water_pc","2001 water_pc","2002 water_pc","2003 water_pc","2004 water_pc","2005 water_pc","2006 water_pc","2007 water_pc","2008 water_pc","2009 water_pc","2010 water_pc","2011 water_pc","2012 water_pc"
"Democratic People s Republic of Korea",116,408,40,127,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9900,10500,11400,12000,15000,18000,22200,24000,25200,27000,28500,30999,33000,35000,30000,33000,29700,33500,28498,35001,38000,36000,36204,36000,34970,35484,40102,39450,33543,31360,31700,39500,,,0.771,0.758,0.746,0.733,0.717,0.7,0.681,0.661,0.642,0.625,0.608,0.592,0.577,0.564,0.553,0.544,0.537,0.531,0.525,0.518,0.562,0.587,0.627,0.649,0.799,0.944,1.148,1.224,1.267,1.337,1.39,1.488,1.559,1.629,1.378,1.499,1.335,1.493,1.259,1.532,1.649,1.549,1.544,1.523,1.469,1.48,1.663,1.627,1.376,1.28,1.287,1.595,,,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,23758.756,26134.631,27718.548,30094.424,31678.341,39597.926,47517.512,58604.931,63356.682,66524.516,71276.267,75236.06,81827.842,87115.438,92391.673,79195.853,87115.438,78403.894,88426.648,75223.804,92392.569,100306.026,95035.023,95568.323,95035.023,92312.477,93667.622,105856.76,104137.314,88543.65,82820.946,83858.026,103925.723,,,,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.229,4.652,4.934,5.357,5.639,7.049,8.459,10.433,11.279,11.842,12.688,13.393,14.567,15.508,16.447,14.098,15.508,13.957,15.741,13.391,16.447,17.856,16.918,17.013,16.918,16.433,16.674,18.844,18.538,15.762,14.743,14.928,18.5,,,,2.037,2.001,1.969,1.934,1.893,1.847,1.797,1.746,1.696,1.649,1.604,1.562,1.523,1.489,1.46,1.437,1.418,1.401,1.385,1.368,1.483,1.549,1.654,1.713,2.109,2.493,3.031,3.231,3.344,3.53,3.668,3.927,4.116,4.301,3.639,3.957,3.525,3.94,3.322,4.045,4.353,4.088,4.076,4.02,3.877,3.908,4.39,4.295,3.633,3.38,3.405,4.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,6722,6722,6560.2,6398.4,6236.6,6074.8,5913,5756.6,5600.2,5443.8,5287.4,5131,5035.8,4940.6,4845.4,4750.2,4655,4590.8,4526.6,4462.4,4398.2,4334,4267.4,4200.8,4134.2,4067.6,4001,3942.4,3883.8,3825.2,3766.6,3708,3659,3610,3561,3512,3463,3433.6,3404.2,3374.8,3345.4,3316,3295.4,3274.8,3254.2,3233.6,3213,3198.8,3184.6,3170.4,3156.2,3142
"Democratic Republic of the Congo",250,180,,25,63986,38484,42391,39809,18500,19587,24220,45000,60000,69200,58400,59900,69500,57700,53600,51800,48700,45750,18260,28868,20000,68451,76112,74000,59000,53000,44000,29700,33500,29660,30280,27190,27200,27150,26600,26551,26842,27234,27272,27133,27216,26820,26444,24750,25070,25200,25275,25410,25300,20971,21641,22940,,,4.092,2.399,2.575,2.355,1.065,1.097,1.318,2.379,3.083,3.458,2.84,2.836,3.204,2.589,2.34,2.199,2.009,1.834,0.712,1.095,0.739,2.465,2.671,2.53,1.964,1.717,1.386,0.909,0.993,0.85,0.835,0.721,0.693,0.667,0.633,0.616,0.609,0.606,0.594,0.578,0.565,0.542,0.519,0.472,0.464,0.453,0.442,0.432,0.418,0.337,0.339,0.349,,,689614.176,414789.945,456846.367,429034.047,199191.855,212330.629,264155.05,484971.03,646628.039,746489.687,630096.64,646262.341,749722.827,621128.617,578366.397,558967.556,524134.411,503734.102,200492.944,327034.955,222662.828,751248.12,836104.431,804628.063,642971.053,578308.249,481314.043,326489.013,368154.137,325488.315,330318.9,295735.929,295986.104,294735.232,291655.868,290430.014,293437.997,296836.696,287107.137,277221.581,268617.806,258710.904,249304.35,266734.066,270147.148,271583.777,272392.062,273846.975,271949.475,165785.066,161186.301,178731.631,,,,0.024,0.014,0.016,0.015,0.007,0.007,0.009,0.017,0.022,0.026,0.022,0.022,0.026,0.021,0.02,0.019,0.018,0.017,0.007,0.011,0.008,0.026,0.029,0.028,0.022,0.02,0.016,0.011,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.006,0.006,0.006,,,,44.099,25.858,27.752,25.381,11.468,11.887,14.373,25.642,33.23,37.306,30.642,30.598,34.564,27.875,25.254,23.73,21.624,20.197,7.816,12.408,8.228,27.054,29.346,27.514,21.404,18.732,15.164,9.991,10.915,9.323,9.111,7.838,7.54,7.24,6.942,6.735,6.657,6.602,6.257,5.905,5.577,5.225,4.891,5.082,5,4.885,4.763,4.656,4.496,2.666,2.521,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79291,79291,77244,75197,73150,71103,69056,67218.2,65380.4,63542.6,61704.8,59867,58265.4,56663.8,55062.2,53460.6,51859,50474.6,49090.2,47705.8,46321.4,44937,43742.6,42548.2,41353.8,40159.4,38965,37677.4,36389.8,35102.2,33814.6,32527,31555.4,30583.8,29612.2,28640.6,27669,27023.6,26378.2,25732.8,25087.4,24442,23776,23110,22444,21778,21112,20577.8,20043.6,19509.4,18975.2,18441
"Denmark",54,208,56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291,1291,1281.2,1271.4,1261.6,1251.8,1242,1234.2,1226.4,1218.6,1210.8,1203,1198,1193,1188,1183,1178,1176.6,1175.2,1173.8,1172.4,1171,1171.4,1171.8,1172.2,1172.6,1173,1170.4,1167.8,1165.2,1162.6,1160,1155.4,1150.8,1146.2,1141.6,1137,1133,1129,1125,1121,1117,1113,1109,1105,1101,1097,1092.2,1087.4,1082.6,1077.8,1073
"Djibouti",72,262,11.825138,42.590275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125,3125,2951.2,2777.4,2603.6,2429.8,2256,2134.4,2012.8,1891.2,1769.6,1648,1540.6,1433.2,1325.8,1218.4,1111,1053.6,996.3,938.9,881.6,824.2,788.7,753.2,717.6,682.1,646.6,618.3,590,561.7,533.4,505.1,494.2,483.3,472.3,461.4,450.5,438.8,427.2,415.5,403.9,392.2,385.3,378.4,371.4,364.5,357.6,351.1,344.6,338,331.5,325
"Dominica",55,212,15.4167,-61.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominican Republic",56,214,19,-70.6667,6881,7320,9261,4856,5029,3017,915,1756,2998,4041,3232,3168,3037,1900,2679,3164,3976,3060,4050,5600,6700,6300,6690,6050,5750,5400,7100,7600,8100,7500,6700,3800,3200,2142,,,,,,,,,,,,,,,,,,,,,2.009,2.068,2.532,1.285,1.289,0.75,0.221,0.411,0.682,0.893,0.695,0.663,0.619,0.377,0.518,0.597,0.732,0.55,0.712,0.961,1.124,1.033,1.072,0.948,0.881,0.81,1.043,1.093,1.141,1.035,0.906,0.504,0.416,0.273,,,,,,,,,,,,,,,,,,,,,22908.99,24368.218,30829.791,16167.782,16739.299,10045.767,3046.027,5843.51,9984.715,13452.455,10757.101,10546.245,10107.948,6322.885,8918.368,10535.129,13227.273,10186.714,13482.416,18202.478,22084.306,20972.647,22402.916,20360.336,19361.638,17976.554,23855.777,25080.399,26964.831,24967.436,22744.117,12870.105,10872.71,7315.447,,,,,,,,,,,,,,,,,,,,,,3490.495,3712.828,4697.336,2463.38,2550.459,1530.609,464.103,890.338,1521.307,2049.664,1638.99,1606.863,1540.083,963.377,1358.834,1605.169,2015.354,1552.084,2054.228,2773.394,3364.843,3195.467,3413.387,3102.173,2950.008,2738.971,3634.75,3821.338,4108.457,3804.127,3465.374,1960.935,1656.604,1114.607,,,,,,,,,,,,,,,,,,,,,,6.689,6.884,8.428,4.279,4.292,2.498,0.735,1.368,2.271,2.974,2.312,2.206,2.059,1.255,1.725,1.988,2.436,1.832,2.369,3.124,3.704,3.438,3.59,3.19,2.968,2.697,3.503,3.607,3.798,3.446,3.077,1.707,1.414,0.934,,,,,,,,,,,,,,,,,,,,,,1.019,1.049,1.284,0.652,0.654,0.381,0.112,0.208,0.346,0.453,0.352,0.336,0.314,0.191,0.263,0.303,0.371,0.279,0.361,0.476,0.564,0.524,0.547,0.486,0.452,0.411,0.534,0.55,0.579,0.525,0.469,0.26,0.215,0.142,,,,,,,,,,,,,,,,,,,,,,5939,5939,5766.2,5593.4,5420.6,5247.8,5075,4941.6,4808.2,4674.8,4541.4,4408,4303.8,4199.6,4095.4,3991.2,3887,3802,3717,3632,3547,3462,3390.4,3318.8,3247.2,3175.6,3104,3044.2,2984.4,2924.6,2864.8,2805,2756.8,2708.6,2660.4,2612.2,2564,2525.2,2486.4,2447.6,2408.8,2370,2336.6,2303.2,2269.8,2236.4,2203,2174.8,2146.6,2118.4,2090.2,2062
"Ecuador",58,218,-2,-77.5,10036,10803,9180,14157,18450,17627,15765,13800,22140,7550,10666,11500,19540,41500,29789,25459,26260,26306,24409,38600,40201,24030,3980,7340,17386,30250,19056,22694,32299,36448,29603,31028,19453,12465,14683,15209,13683,8932,9052,8363,6893,3388,1070,3207,3279,3331,3401,3632,3642,3550,3650,3730,,,2.161,2.26,1.866,2.796,3.539,3.284,2.853,2.426,3.782,1.253,1.721,1.804,2.98,6.156,4.299,3.576,3.591,3.503,3.167,4.881,4.955,2.889,0.467,0.84,1.94,3.293,2.024,2.351,3.267,3.6,2.857,2.928,1.795,1.126,1.298,1.316,1.16,0.742,0.737,0.667,0.539,0.26,0.081,0.237,0.238,0.238,0.238,0.25,0.247,0.237,0.239,0.241,,,37238.639,41239.039,35022.118,52661.006,68681.683,66133.61,59126.026,51553.834,77936.667,28656.763,39156.226,43194.932,72439.101,154781.381,111256.482,96752.921,103321.843,103699.084,93743.666,149904.475,153371.201,91335.736,15204.323,28405.018,66355.856,129041.324,66971.413,79917.193,120063.188,135687.172,114590.581,121221.339,75485.758,47789.8,56295.475,58312.456,49312.942,30992.692,35008.715,31626.98,26426.724,12814.134,4083.548,12597.153,11983.255,11912.551,12136.509,12980.6,13412.715,13708.549,14178.533,14484.499,,,,43.956,48.678,41.34,62.161,81.071,78.063,69.792,60.854,91.996,33.826,46.22,50.987,85.506,182.703,131.326,114.206,121.96,122.405,110.654,176.946,181.038,107.812,17.947,33.529,78.326,152.319,79.052,94.334,141.721,160.164,135.262,143.089,89.103,56.411,66.451,68.831,58.209,36.583,41.324,37.332,31.194,15.126,4.82,14.87,14.145,14.061,14.326,15.322,15.832,16.181,16.736,17.097,,,,8.017,8.627,7.12,10.399,13.175,12.322,10.702,9.064,13.313,4.756,6.317,6.775,11.048,22.961,16.057,13.591,14.129,13.81,12.162,18.954,18.904,10.979,1.783,3.249,7.404,14.046,7.112,8.281,12.144,13.403,11.06,11.438,6.966,4.315,4.975,5.046,4.179,2.574,2.849,2.523,2.068,0.983,0.307,0.931,0.87,0.849,0.851,0.894,0.909,0.914,0.93,0.935,,,,0.009,0.01,0.008,0.012,0.016,0.015,0.013,0.011,0.016,0.006,0.007,0.008,0.013,0.027,0.019,0.016,0.017,0.016,0.014,0.022,0.022,0.013,0.002,0.004,0.009,0.017,0.008,0.01,0.014,0.016,0.013,0.014,0.008,0.005,0.006,0.006,0.005,0.003,0.003,0.003,0.002,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,90164,90164,87668.4,85172.8,82677.2,80181.6,77686,75551.6,73417.2,71282.8,69148.4,67014,65214.8,63415.6,61616.4,59817.2,58018,56515.6,55013.2,53510.8,52008.4,50506,49285.4,48064.8,46844.2,45623.6,44403,43436.6,42470.2,41503.8,40537.4,39571,38866,38161,37456,36751,36046,35485.2,34924.4,34363.6,33802.8,33242,32722.2,32202.4,31682.6,31162.8,30643,30224.4,29805.8,29387.2,28968.6,28550
"Egypt",59,818,27,30,994098,1314740,1299553,1415935,1481700,1275093,1195025,1195133,1462210,1392560,1409440,1408840,1352320,1194000,1034000,1073353,1088551,1180346,1275557,1386234,1302000,1198408,1055000,1035000,1156000,1092000,949000,854000,794000,806712,782055,941058,1064581,665569,621545,905707,902030,614893,600716,553532,824820,669210,522910,738289,537000,546000,542800,298270,239717,324437,399450,285000,,,34.534,44.43,42.734,45.322,46.182,38.713,35.357,34.482,41.176,38.318,37.937,37.128,34.913,30.202,25.62,26.044,25.86,27.446,29.022,30.852,28.338,25.503,21.946,21.041,22.961,21.185,17.981,15.812,14.382,14.319,13.628,16.122,17.95,11.05,10.161,14.579,14.297,9.595,9.228,8.369,12.273,9.798,7.531,10.459,7.481,7.48,7.312,3.951,3.122,4.155,5.031,3.531,,,150212.721,202647.357,197222.943,221668.798,229950.213,199916.093,190413.699,190526.686,235121.082,221944.105,223099.218,224256.516,214256.286,191656.887,166002.574,172265.37,173824.049,190174.625,208451.765,227473.311,214370.622,197644.199,172415.3,171101.57,191506.708,179938.401,156633.103,139034.531,128263.481,130988.399,128547.06,157714.091,177566.886,109484.974,103319.669,148703.066,147424.244,99465.595,99760.421,94657.9,139926.652,120137.58,85380.398,124243.388,87284.521,90117.676,93518.396,46343.539,40397.259,57176.256,74055.659,48638.41,,,,3717823.95,5015601.816,4881345.442,5486389.973,5691358.246,4948001.955,4712813.979,4715610.443,5819339.283,5493203.929,5521793.422,5550437.007,5302927.39,4743583.363,4108629.026,4263635.693,4302213.605,4706896.795,5159263.208,5630053.959,5305757.234,4891771.682,4267346.52,4234831.178,4739866.363,4453546.216,3876730.921,3441159.346,3174571.617,3242014.412,3181590.319,3903485.817,4394850.283,2709796.179,2557202.455,3680459.393,3648808.055,2461812.614,2469109.672,2342820.28,3463239.699,2973452.379,2113198.453,3075072.737,2160326.247,2230447.927,2314617.086,1147020.829,999848.067,1415134.832,1832906.702,1203819.778,,,,5.218,6.848,6.485,7.095,7.167,6.07,5.634,5.497,6.621,6.107,6.005,5.91,5.531,4.848,4.113,4.18,4.129,4.422,4.743,5.063,4.666,4.206,3.587,3.478,3.804,3.491,2.968,2.574,2.323,2.325,2.24,2.702,2.994,1.818,1.689,2.394,2.337,1.552,1.532,1.431,2.082,1.759,1.23,1.76,1.216,1.235,1.26,0.614,0.526,0.732,0.933,0.603,,,,129.154,169.498,160.518,175.609,177.389,150.226,139.436,136.053,163.874,151.153,148.627,146.276,136.906,119.987,101.802,103.454,102.205,109.447,117.387,125.302,115.478,104.1,88.77,86.091,94.144,86.401,73.455,63.712,57.503,57.547,55.44,66.874,74.102,44.989,41.806,59.244,57.831,38.415,37.929,35.424,51.533,43.533,30.436,43.562,30.097,30.558,31.182,15.194,13.023,18.125,23.087,14.913,,,,1982,1982,1934.6,1887.2,1839.8,1792.4,1745,1706.2,1667.4,1628.6,1589.8,1551,1518.6,1486.2,1453.8,1421.4,1389,1358.6,1328.2,1297.8,1267.4,1237,1209,1181,1153,1125,1097,1075.2,1053.4,1031.7,1009.9,988.1,972.1,956.1,940.1,924.1,908.1,892.6,877.2,861.7,846.3,830.8,816.2,801.6,786.9,772.3,757.7,745,732.4,719.7,707.1,694.4
"El Salvador",60,222,13.8333,-88.9167,116746,160072,191965,196264,213992,138778,103788,93282,119379,121696,146632,179035,182140,199453,199506,158280,183443,212848,184084,171193,111992,103206,100679,72687,73878,44401,26028,23923,22284,12468,9072,8887,8931,2564,3900,180,,3150,3150,2750,445,460,193,4268,3457,790,42,150,63,150,433,666,,,40.835,54.243,63.001,62.405,65.965,41.525,30.171,26.373,32.833,32.574,38.225,45.463,45.106,48.212,47.142,36.597,41.559,47.3,40.175,36.729,23.657,21.479,20.665,14.72,14.764,8.759,5.07,4.601,4.229,2.333,1.672,1.613,1.596,0.452,0.678,0.031,,0.534,0.531,0.461,0.074,0.077,0.032,0.705,0.569,0.13,0.007,0.024,0.01,0.024,0.069,0.106,,,215391.346,299357.684,365968.543,377914.778,411521.034,264441.996,197040.92,177201.274,227507.209,232771.471,279412.62,345819.381,347355.131,379959.611,377556.712,304335.112,352711.205,400775.151,335175.273,317901.123,218340.854,200631.253,201463.726,148262.769,149566.606,90170.874,52953.185,48754.155,43469.291,24701.259,18519.803,18809.598,18814.929,5400.895,8582.13,385.397,,5875.006,5875.006,5636.842,943.127,865.114,382.704,8689.952,6847.256,1545.013,87.608,297.979,124.456,297.979,859.471,1321.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.338,101.443,120.108,120.164,126.856,79.127,57.279,50.099,62.571,62.305,72.84,87.816,86.022,91.844,89.215,70.366,79.907,89.061,73.15,68.204,46.122,41.755,41.351,30.025,29.889,17.789,10.314,9.376,8.25,4.622,3.414,3.413,3.362,0.951,1.493,0.066,,0.997,0.991,0.946,0.158,0.144,0.063,1.436,1.127,0.253,0.014,0.048,0.02,0.048,0.137,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8550,8550,8306.4,8062.8,7819.2,7575.6,7332,7147,6962,6777,6592,6407,6269.2,6131.4,5993.6,5855.8,5718,5625.8,5533.6,5441.4,5349.2,5257,5190.4,5123.8,5057.2,4990.6,4924,4857,4790,4723,4656,4589,4535.4,4481.8,4428.2,4374.6,4321,4299.4,4277.8,4256.2,4234.6,4213,4197.4,4181.8,4166.2,4150.6,4135,4113.6,4092.2,4070.8,4049.4,4028
"Equatorial Guinea",61,226,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100775,100775,99059.8,97344.6,95629.4,93914.2,92199,92668.2,93137.4,93606.6,94075.8,94545,99272.4,103999.8,108727.2,113454.6,118182,115262.8,112343.6,109424.4,106505.2,103586,98118,92650,87182,81714,76246,73996.8,71747.6,69498.4,67249.2,65000,63017,61034,59051,57068,55085,53454.2,51823.4,50192.6,48561.8,46931,45619.4,44307.8,42996.2,41684.6,40373,39325.4,38277.8,37230.2,36182.6,35135
"Eritrea",178,232,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.6,877.2,1315.8,1754.4,2193,2122.6,2052.2,1981.8,1911.4,1841,1777.6,1714.2,1650.8,1587.4,1524,1481.4,1438.8,1396.2,1353.6,1311
