name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
Aruba,22,533,12.5211100,-69.9667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Australia,10,36,-25.2743980,133.7751360,0.59,0.49,0.39,0.54,1.84,3.68,3.02,5.75,5.85,4.66,2.96,7.07,5.01,4.92,5.56,4.16,4.64,7.22,8.42,13.27,15.57,20.9,15.26,20.6,37.03,38.14,31.33,37.98,39.82,41.81,59.84,71.75,51.98,46.03,46.43,52.48,75.08,80.95,86.14,87.87,95.8,82.36,44.32,39.47,71.85,65.4,31.92,14.02,34.13,39.5,85.72,100.34,1.28,1.06,0.85,1.17,4.01,8.04,6.59,12.55,12.75,10.17,6.46,15.43,10.92,10.74,12.12,9.06,10.12,15.74,18.36,28.95,33.97,45.59,33.28,44.93,80.77,83.2,68.33,82.84,86.87,91.2,130.54,156.51,113.38,100.42,101.27,114.48,163.78,176.59,187.91,191.67,208.98,179.67,96.68,86.09,156.74,142.65,69.64,30.59,74.44,86.16,186.98,218.87
Austria,11,40,47.3333,13.3333,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Azerbaijan,52,31,40.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.13,55.59,54.29,47.28,42.8,23.64,21.96,18.68,19.83,15.48,14.96,19.94,26.86,38.62,25.51,18,9.42,5.34,6.33,10.91,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.16,145.56,142.16,123.8,112.08,61.9,57.49,48.91,51.93,40.54,39.18,52.2,70.33,101.14,66.81,47.13,24.66,14,16.58,28.58,24.16
Bahamas,12,44,24.25,-76,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bahrain,13,48,26,50.55,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bangladesh,16,50,24,90,1.36,1.33,1.29,1.25,1.22,1.04,1.01,0.83,0.95,0.41,0.57,0.46,0.37,0.35,0.26,0.22,0.26,0.35,0.31,0.48,2.63,2.69,2.08,1.48,1.24,0.91,1.53,2.66,2.97,3.33,2.85,3.16,5.04,2.41,2.57,2.52,2.5,2.33,2.46,2.33,2.54,2.39,2.45,2.46,2.79,2.82,2.34,1.85,2.34,2.18,2.58,2.8,0.16,0.16,0.15,0.15,0.15,0.13,0.12,0.1,0.11,0.05,0.07,0.06,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.06,0.32,0.32,0.25,0.18,0.15,0.11,0.18,0.32,0.36,0.4,0.34,0.38,0.61,0.29,0.31,0.3,0.3,0.28,0.3,0.28,0.3,0.29,0.29,0.3,0.34,0.34,0.28,0.22,0.28,0.26,0.31,0.34
Barbados,14,52,13.1667,-59.5333,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belarus,57,112,53,28,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Belgium-Luxembourg,15,58,49.6568287,6.0333955,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
